poll_id,question_id,race_id,cycle,location,type_simple,race,pollster,pollster_rating_id,aapor_roper,inactive,methodology,transparency_score,partisan,polldate,electiondate,time_to_election,samplesize,cand1_name,cand1_id,cand1_party,cand1_pct,cand1_actual,cand2_name,cand2_id,cand2_party,cand2_pct,cand2_actual,margin_poll,margin_actual,days_to_election,margin_error,absolute_margin_error,winner_correct
27174,24357,37,2012,US,Pres-G,2012_Pres-G_US,Ipsos,154,True,False,,6.0,,2012-09-09,2012-11-06,58,873.0,Barack Obama,16,DEM,48.0,50.90918536886269,Mitt Romney,9,REP,45.0,46.97447054330086,3.0,3.9347148255618336,58,-0.9347148255618336,0.9347148255618336,True
19108,24428,37,2012,US,Pres-G,2012_Pres-G_US,Ipsos,154,True,False,Online Panel,4.0,,2012-09-11,2012-11-06,56,990.0,Barack Obama,16,DEM,48.0,50.90918536886269,Mitt Romney,9,REP,41.0,46.97447054330086,7.0,3.9347148255618336,56,3.0652851744381664,3.0652851744381664,True
29391,34907,37,2012,US,Pres-G,2012_Pres-G_US,YouGov,391,False,False,Online Panel,7.0,,2012-09-16,2012-11-06,51,943.0,Barack Obama,16,DEM,49.0,50.90918536886269,Mitt Romney,9,REP,44.0,46.97447054330086,5.0,3.9347148255618336,51,1.0652851744381664,1.0652851744381664,True
29517,35131,37,2012,US,Pres-G,2012_Pres-G_US,Ipsos,154,True,False,Online Panel,5.0,,2012-09-19,2012-11-06,48,1616.0,Barack Obama,16,DEM,48.0,50.90918536886269,Mitt Romney,9,REP,42.0,46.97447054330086,6.0,3.9347148255618336,48,2.0652851744381664,2.0652851744381664,True
29598,35689,37,2012,US,Pres-G,2012_Pres-G_US,YouGov,391,False,False,Online Panel,8.0,,2012-09-23,2012-11-06,44,896.0,Barack Obama,16,DEM,48.0,50.90918536886269,Mitt Romney,9,REP,43.0,46.97447054330086,5.0,3.9347148255618336,44,1.0652851744381664,1.0652851744381664,True
29646,35332,37,2012,US,Pres-G,2012_Pres-G_US,Ipsos,154,True,False,Online Panel,5.0,,2012-09-26,2012-11-06,41,855.0,Barack Obama,16,DEM,47.0,50.90918536886269,Mitt Romney,9,REP,42.0,46.97447054330086,5.0,3.9347148255618336,41,1.0652851744381664,1.0652851744381664,True
29765,35509,37,2012,US,Pres-G,2012_Pres-G_US,YouGov,391,False,False,Online Panel,8.0,,2012-09-30,2012-11-06,37,785.0,Barack Obama,16,DEM,49.0,50.90918536886269,Mitt Romney,9,REP,44.0,46.97447054330086,5.0,3.9347148255618336,37,1.0652851744381664,1.0652851744381664,True
29780,35530,37,2012,US,Pres-G,2012_Pres-G_US,Ipsos,154,True,False,Online Panel,5.0,,2012-10-03,2012-11-06,34,1434.0,Barack Obama,16,DEM,46.0,50.90918536886269,Mitt Romney,9,REP,44.0,46.97447054330086,2.0,3.9347148255618336,34,-1.9347148255618336,1.9347148255618336,True
29781,35532,37,2012,US,Pres-G,2012_Pres-G_US,Ipsos,154,True,False,Online Panel,5.0,,2012-10-03,2012-11-06,34,1728.0,Barack Obama,16,DEM,45.0,50.90918536886269,Mitt Romney,9,REP,41.0,46.97447054330086,4.0,3.9347148255618336,34,0.0652851744381664,0.0652851744381664,True
29891,35683,37,2012,US,Pres-G,2012_Pres-G_US,YouGov,391,False,False,Online Panel,6.0,,2012-10-07,2012-11-06,30,763.0,Barack Obama,16,DEM,49.0,50.90918536886269,Mitt Romney,9,REP,46.0,46.97447054330086,3.0,3.9347148255618336,30,-0.9347148255618336,0.9347148255618336,True
