poll_id,question_id,race_id,cycle,location,type_simple,race,pollster,pollster_rating_id,aapor_roper,inactive,methodology,transparency_score,partisan,polldate,electiondate,time_to_election,samplesize,cand1_name,cand1_id,cand1_party,cand1_pct,cand1_actual,cand2_name,cand2_id,cand2_party,cand2_pct,cand2_actual,margin_poll,margin_actual,days_to_election,margin_error,absolute_margin_error,winner_correct
72500,136058,6214,2020,AZ,Pres-G,2020_Pres-G_AZ,AtlasIntel,546,True,False,Online Panel,5.0,,2020-10-30,2020-11-03,4,641.0,Joe Biden,13256,DEM,48.1,49.364690614366616,Donald Trump,13254,REP,50.4,49.05598103046474,-2.299999999999997,0.308709583901873,4,-2.60870958390187,2.60870958390187,False
72399,135844,6220,2020,FL,Pres-G,2020_Pres-G_FL,AtlasIntel,546,True,False,Online Panel,5.0,,2020-10-28,2020-11-03,6,786.0,Joe Biden,13256,DEM,48.6,47.86145072544223,Donald Trump,13254,REP,48.5,51.21981962250403,0.1000000000000014,-3.3583688970618013,6,3.4583688970618027,3.4583688970618027,False
72593,136231,6221,2020,GA,Pres-G,2020_Pres-G_GA,AtlasIntel,546,True,False,Online Panel,5.0,,2020-10-30,2020-11-03,4,679.0,Joe Biden,13256,DEM,46.1,49.473055784446274,Donald Trump,13254,REP,48.3,49.2374738997912,-2.199999999999996,0.2355818846550761,4,-2.4355818846550723,2.4355818846550723,False
72594,136232,6233,2020,MI,Pres-G,2020_Pres-G_MI,AtlasIntel,546,True,False,Online Panel,5.0,,2020-10-30,2020-11-03,4,686.0,Joe Biden,13256,DEM,48.3,50.62081829082437,Donald Trump,13254,REP,45.9,47.83729069113762,2.3999999999999986,2.783527599686749,4,-0.38352759968675043,0.38352759968675043,True
72501,136059,6238,2020,NC,Pres-G,2020_Pres-G_NC,AtlasIntel,546,True,False,Online Panel,5.0,,2020-10-30,2020-11-03,4,812.0,Joe Biden,13256,DEM,47.5,48.586194188970325,Donald Trump,13254,REP,49.5,49.93435061225701,-2.0,-1.3481564232866887,4,-0.6518435767133113,0.6518435767133113,True
72657,136347,6246,2020,OH,Pres-G,2020_Pres-G_OH,AtlasIntel,546,True,False,Online Panel,5.0,,2020-10-29,2020-11-03,5,660.0,Joe Biden,13256,DEM,46.5,45.23933834070503,Donald Trump,13254,REP,50.4,53.27130010087464,-3.899999999999999,-8.031961760169615,5,4.131961760169617,4.131961760169617,True
72475,136002,6249,2020,PA,Pres-G,2020_Pres-G_PA,AtlasIntel,546,True,False,Online Panel,5.0,,2020-10-29,2020-11-03,5,672.0,Joe Biden,13256,DEM,48.5,50.00849567544814,Donald Trump,13254,REP,49.6,48.84361204017247,-1.1000000000000014,1.1648836352756715,5,-2.264883635275673,2.264883635275673,False
72592,136230,6254,2020,TX,Pres-G,2020_Pres-G_TX,AtlasIntel,546,True,False,Online Panel,5.0,,2020-10-30,2020-11-03,4,962.0,Joe Biden,13256,DEM,47.3,46.47900991387051,Donald Trump,13254,REP,50.0,52.05760360355265,-2.700000000000003,-5.578593689682137,4,2.878593689682134,2.878593689682134,True
72216,135480,6210,2020,US,Pres-G,2020_Pres-G_US,AtlasIntel,546,True,False,Online Panel,5.0,,2020-10-27,2020-11-03,7,1726.0,Joe Biden,13256,DEM,50.9,51.06781524282115,Donald Trump,13254,REP,46.2,46.67188775435952,4.699999999999996,4.395927488461631,7,0.3040725115383651,0.3040725115383651,True
72502,136060,6259,2020,WI,Pres-G,2020_Pres-G_WI,AtlasIntel,546,True,False,Online Panel,5.0,,2020-10-30,2020-11-03,4,781.0,Joe Biden,13256,DEM,50.6,49.44953686142774,Donald Trump,13254,REP,48.7,48.82243731960882,1.8999999999999984,0.6270995418189145,4,1.2729004581810839,1.2729004581810839,True
